document_id,document_atypicality_score,document_atypicality_z_score,document_repository_link_id,repository_id,dataset_source_id,predictive_model_confidence,document_doi,document_open_alex_id,document_title,document_publication_date,document_cited_by_count,document_fwci,document_citation_normalized_percentile,document_document_type,document_is_open_access,document_open_access_status,document_primary_location_id,document_best_open_access_location_id,document_created_datetime,document_updated_datetime,repository_code_host_id,repository_owner,repository_name,repository_description,repository_is_fork,repository_forks_count,repository_stargazers_count,repository_watchers_count,repository_open_issues_count,repository_commits_count,repository_size_kb,repository_topics,repository_primary_language,repository_default_branch,repository_license,repository_processed_at_sha,repository_creation_datetime,repository_last_pushed_datetime,repository_created_datetime,repository_updated_datetime,document_field_name,document_domain_name,document_publication_date_parsed,document_publication_year,document_years_since_earliest,document_field_name_pruned,ecosystem_label,num_unique_software_imported,ecosystem_label_right,document_log_cited_by_count,document_log_fwci
184113,0.9311583,1.9068264,190485,178914,5,,10.36334/modsim.2015.l5.davies,https://openalex.org/W2910105133,Open source flood simulation with a 2D discontinuous-elevation hydrodynamic model,2015-11-29,8,2.30422535,0.87730061,article,1,bronze,204119,204119,2026-02-09 13:30:14,,1,geoscienceaustralia,anuga_core,AnuGA for the simulation of the shallow water equation,0,102,213,213,69,6616,63580,finite-volume;flooding;shallow-water-equations;tsunami,Python,main,Other,2b12d041a54ea451d028b92e3da1aca8020c8abb,2014-12-24 00:51:55.000000,2025-12-15 08:25:03.000000,2026-02-09 13:30:14,,Environmental Science,Physical Sciences,2015-11-29,2015,110,Other,py,42,py,2.0794415416798357,0.8347445462104608
10453,0.9302529,1.9012969,10480,9925,1,,10.1109/icse55347.2025.00157,https://openalex.org/W4411551762,"RepairAgent: An Autonomous, LLM-Based Agent for Program Repair",2025-04-26,25,120.49362866,0.99930853,article,0,closed,11664,,2026-01-30 01:31:17,,1,sola-st,repairagent,RepairAgent is an autonomous LLM-based agent for software repair.,0,21,82,82,5,56,6836,agent;ai4se;automated-program-repair;autonomous;llm-agent;llms,Python,main,Other,187694d1f31b621a690dbd433b4b57e6b8474382,2024-05-11 02:09:14.000000,2025-07-24 10:56:01.000000,2026-01-30 01:31:17,,Computer Science,Physical Sciences,2025-04-26,2025,120,Computer Science,py,43,py,3.2188758248682006,4.791596877341949
171610,0.92466795,1.8671879,177695,168140,3,,10.21105/joss.03262,https://openalex.org/W3173556047,"DataLad: distributed system for joint management of code, data, and their relationship",2021-07-01,152,48.38022137,0.9982184,article,1,diamond,190873,190873,2026-02-08 21:11:21,,1,datalad,datalad,"Keep code, data, containers under control with git  and git-annex",0,120,624,624,579,17503,43695,closember;data-storage;dataset;git-annex;python;usable,Python,maint,Other,9fa888979e60c93cebe339bc9c2692dcb32e3fae,2013-11-01 19:40:08.000000,2026-02-06 03:53:22.000000,2026-02-08 21:11:21,,Decision Sciences,Social Sciences,2021-07-01,2021,116,Other,py,39,py,5.0238805208462765,3.8790910808225085
204526,0.9236228,1.8608047,211276,198092,6,0.999761164188385,10.1109/naps61145.2024.10741660,https://openalex.org/W4404133398,Quantum Combinatorial Optimization Algorithms for Network Reconfiguration: QRAO vs. QAOA,2024-10-13,2,1.2775571,0.78200604,article,0,closed,226292,,2026-02-16 07:23:39,,1,anhphuong-ngo,quantum-combinatorial-optimization-algorithms-for-network-reconfiguration-qrao-vs.-qaoa,Quantum Combinatorial Optimization Algorithms for Network Reconfiguration: Quantum random access optimization (QRAO) vs. Quantum approximate optimization algorithm QAOA),0,1,2,2,0,7,14231,,Python,main,,71da11162a927e9d76263df8280fc3ad0ae1ab00,2024-12-04 21:45:57.000000,2024-12-05 18:12:50.000000,2026-02-16 07:23:39,,Computer Science,Physical Sciences,2024-10-13,2024,119,Computer Science,py,44,py,0.6931471805599453,0.24494973877004564
172210,0.9235236,1.860199,178295,168703,3,,10.21105/joss.01358,https://openalex.org/W2946606217,The MTPy software package for magnetotelluric data analysis and visualisation,2019-05-22,88,6.55280468,0.98047742,article,1,diamond,191473,191473,2026-02-08 21:39:05,,1,mtgeophysics,mtpy,[DEPRECATED] Python toolbox for standard Magnetotelluric (MT) data analysis,0,64,156,156,60,4327,238895,,Python,develop,GNU General Public License v3.0,c4554ec6f67116878f004ffc2806215996529e6f,2017-11-06 00:00:46.000000,2023-11-03 06:16:52.000000,2026-02-08 21:39:05,,Earth and Planetary Sciences,Physical Sciences,2019-05-22,2019,114,Other,py,42,py,4.477336814478207,1.8798931534175107
98285,0.92317784,1.8580873,100634,95181,1,,10.1137/15m1026614,https://openalex.org/W2230918517,pyMOR -- Generic Algorithms and Interfaces for Model Order Reduction,2016-01-01,78,5.19753941,0.9675028,article,1,green,109950,109951,2026-02-05 11:40:07,,1,pymor,pymor,pyMOR - Model Order Reduction with Python,0,118,339,339,122,11413,43243,control-systems;data-driven;dealii;dune;empirical-interpolation;fenics;model-order-reduction;model-reduction;ngsolve;nonlinear-dynamics;parametric;python;reduced-basis;state-space,Python,main,Other,86d96d87d68a0be54caab63b42c2fa5e5919f7a1,2013-04-04 14:58:44.000000,2026-02-02 09:43:19.000000,2026-02-05 11:40:07,,Physics and Astronomy,Physical Sciences,2016-01-01,2016,111,Physics and Astronomy,py,33,py,4.356708826689592,1.6481853232128665
237517,0.9222846,1.852632,244359,231175,6,0.9997231364250183,10.1109/sp46215.2023.10179330,https://openalex.org/W4385679691,BLEDiff: Scalable and Property-Agnostic Noncompliance Checking for BLE Implementations,2023-05-01,11,4.83507521,0.88959212,article,0,closed,262275,,2026-02-19 05:31:40,,1,sysnets,blediff,"BLEDiff is an automated, scalable, property-agnostic, and black-box protocol noncompliance checker for BLE devices.",0,4,13,13,1,6,17452,bluetooth;noncompliance,Python,main,Apache License 2.0,4a7b7a75ead4eda74bc5de2d46f8f65e9c93b28f,2022-10-29 15:18:29.000000,2023-03-31 01:23:47.000000,2026-02-19 05:31:40,,Computer Science,Physical Sciences,2023-05-01,2023,118,Computer Science,py,33,py,2.3978952727983707,1.5758966841100246
137120,0.9214957,1.8478138,141485,133764,1,,10.1145/3614408.3614417,https://openalex.org/W4385628833,Drinfeld Modules in SageMath,2023-06-01,2,1.23697525,0.79830008,article,0,closed,153393,,2026-02-07 07:22:50,,1,xcaruso,sage,Main repository of SageMath. Now open for Issues and Pull Requests.,1,0,1,1,0,133184,458131,,Python,develop,Other,931cc5e8dc03580c9fecbd0535544a725e9baeb7,2023-02-08 15:36:26.000000,2026-02-04 09:01:29.000000,2026-02-07 07:22:50,,Computer Science,Physical Sciences,2023-06-01,2023,118,Computer Science,py,32,py,0.6931471805599453,0.21266908512611207
171140,0.92134315,1.8468822,177225,167704,3,,10.21105/joss.04864,https://openalex.org/W4311799498,FreqAI: generalizing adaptive modeling for chaotictime-series market forecasts,2022-12-15,5,1.00244978,0.75838836,article,1,diamond,190403,190403,2026-02-08 20:51:37,,1,freqtrade,freqtrade,"Free, open source crypto trading bot",0,9737,46598,46598,40,30899,707194,algorithmic-trading;bitcoin;cryptocurrencies;cryptocurrency;freqtrade;python;telegram-bot;trade;trading-bot,Python,develop,GNU General Public License v3.0,351fe62d1892a765aa17bb8eadd4b69abe6a4588,2017-05-17 23:48:53.000000,2026-02-07 12:54:47.000000,2026-02-08 20:51:37,,Decision Sciences,Social Sciences,2022-12-15,2022,117,Other,py,43,py,1.6094379124341003,0.002446784180710447
57619,0.9212551,1.8463446,58423,55159,1,,10.1109/tits.2018.2848264,https://openalex.org/W2757564505,Deep Reinforcement Learning for Event-Driven Multi-Agent Decision Processes,2018-07-25,56,4.76549902,0.94707141,article,1,green,64483,64484,2026-02-04 11:48:53,,1,sisl,event-driven-rllab,Extending rllab to event-driven multiagent environments,1,4,13,13,0,132,1783,,Python,master,Other,932d6cc0911071443d1d43277ee011f4d832631e,2017-02-26 23:51:34.000000,2018-10-01 23:09:14.000000,2026-02-04 11:48:53,,Computer Science,Physical Sciences,2018-07-25,2018,113,Computer Science,py,40,py,4.02535169073515,1.5614022577507842
